deliveryItemId,deliveryId,itemName,quantity,Last Update
delitem25082510204,del25082510203,HELI35,1,20/09/2025 16:15:27
delitem25082510205,del25082510203,JWA008,1,20/09/2025 16:15:24
delitem25082510206,del25082510203,JWA002,1,20/09/2025 16:15:25
delitem25082510207,del25082510203,JWA003,1,20/09/2025 16:15:22
delitem25082510208,del25082510203,JWA004,1,20/09/2025 16:15:21
delitem25082510209,del25082510203,JWA006,1,20/09/2025 16:15:14
delitem25082510219,del25082510203,JWA007,1,
delitem25082510211,del25082510203,FBC2017,24,20/09/2025 16:15:16
delitem25082510212,del25082510203,FBC218,492,22/09/2025 18:54:03
delitem25082510213,del25082510203,FBC219,1,20/09/2025 16:15:08
delitem10092514203,del10092514203,FBC2016,30,20/09/2025 16:15:59
delitem19092516413,del19092516413,BM485110,1,20/09/2025 16:14:17
delitem19092516414,del19092516413,CM450111,1,20/09/2025 16:14:20
delitem19092516415,del19092516413,WS461110,1,20/09/2025 16:14:22
delitem19092516416,del19092516413,WS482110,1,20/09/2025 16:14:24
delitem300825172213,del300825172212,FBC229,1,20/09/2025 16:15:43
delitem300825172214,del300825172212,FBC230,1,20/09/2025 16:15:45
delitem300825172215,del300825172212,FBC231,1,20/09/2025 16:15:46
delitem300825172216,del300825172212,FBC232,1,20/09/2025 16:15:48
delitem300825172217,del300825172212,FBC233,1,20/09/2025 16:15:50
delitem200925150529,del200925140448,BT100,5,20/09/2025 16:31:21
delitem250925110547,del250925110449,BT100,4,25/09/2025 11:05:47
delitem051025132800,del051025132713,FBC317,2,05/10/2025 13:28:00